PosX	PosY	PosZ		ForceX	ForceY	ForceZ		ThetaX	ThetaY	ThetaZ		TorqueX	TorqueY	TorqueZ		EstTorqueX	EstTorqueY	EstTorqueZ		ResidTorqueX	ResidTorqueY	ResidTorqueZ
4.1	-0.2	0		0	0	280		0.94	-7.75	-0.31		-56	-1148	0		-68.73	-1116.97	0		12.73	-31.03	0
4.1	-0.2	0		0	0	300		0.94	-6.94	-0.25		-60	-1230	0		-73.9	-996.29	0		13.9	-233.71	0
4.1	-0.2	0		0	0	320		1	-9.69	0.12		-64	-1312	0		-46.18	-1380.52	0		-17.82	68.52	0
4.1	-0.2	0		0	0	340		1.25	-9.06	-0.38		-68	-1394	0		-101.51	-1302.71	0		33.51	-91.29	0
4.1	-0.2	0		0	0	360		1.06	-9.31	-0.31		-72	-1476	0		-71.9	-1341.31	0		-0.1	-134.69	0
4.1	-0.2	0		0	0	380		1.31	-11.5	-0.44		-76	-1558	0		-90.49	-1658.37	0		14.49	100.37	0
4.1	-0.2	0		0	0	400		1.19	-11.12	-1.19		-80	-1640	0		-100.75	-1635.88	0		20.75	-4.12	0
4.1	-0.2	0		0	0	420		1.31	-11.31	-0.44		-84	-1722	0		-92.14	-1631.08	0		8.14	-90.92	0
4.1	-0.2	0		0	0	440		1.44	-12.69	-0.62		-88	-1804	0		-102.94	-1835.38	0		14.94	31.38	0
4.1	-0.2	0		0	0	460		1.56	-13.69	-0.56		-92	-1886	0		-109.08	-1975.43	0		17.08	89.43	0
4.1	-0.2	0		0	0	480		1.38	-13.25	-0.5		-96	-1968	0		-85.53	-1913.97	0		-10.47	-54.03	0
3.5	0.4	0		0	0	20		0	-1.19	0		8	-70	0		10.47	-172.85	0		-2.47	102.85	0
3.5	0.4	0		0	0	40		-0.06	-1.06	0		16	-140	0		17.84	-156.2	0		-1.84	16.2	0
3.5	0.4	0		0	0	60		-0.12	-1.12	-0.06		24	-210	0		24.87	-169.25	0		-0.87	-40.75	0
3.5	0.4	0		0	0	80		-0.06	-2.5	-0.06		32	-280	0		28.52	-367.85	0		3.48	87.85	0
3.5	0.4	0		0	0	100		-0.12	-2.25	-0.12		40	-350	0		32.8	-335.42	0		7.2	-14.58	0
3.5	0.4	0		0	0	120		-0.06	-1.81	-0.06		48	-420	0		22.46	-267.78	0		25.54	-152.22	0
3.5	0.4	0		0	0	140		-0.12	-3.06	-0.06		56	-490	0		41.95	-451.27	0		14.05	-38.73	0
3.5	0.4	0		0	0	160		-0.19	-3.62	-0.12		64	-560	0		53.39	-537.1	0		10.61	-22.9	0
3.5	0.4	0		0	0	180		-0.25	-3.44	-0.12		72	-630	0		60.21	-511.35	0		11.79	-118.65	0
3.5	0.4	0		0	0	200		-0.19	-5.25	-0.19		80	-700	0		65.73	-776.04	0		14.27	76.04	0
3.5	0.4	0		0	0	220		-0.19	-4.62	-0.19		88	-770	0		60.22	-685.07	0		27.78	-84.93	0
3.5	0.4	0		0	0	240		-0.25	-4.75	-0.19		96	-840	0		69.79	-704.81	0		26.21	-135.19	0
3.5	0.4	0		0	0	260		-0.31	-5.56	-0.19		104	-910	0		85.43	-824.62	0		18.57	-85.38	0
3.5	0.4	0		0	0	280		-0.5	-6.31	-0.31		112	-980	0		113.48	-943.25	0		-1.48	-36.75	0
3.5	0.4	0		0	0	300		-0.31	-6.81	-0.25		120	-1050	0		94.46	-1008.98	0		25.54	-41.02	0
3.5	0.4	0		0	0	320		-0.19	-6.12	-0.19		128	-1120	0		73.44	-903.41	0		54.56	-216.59	0
3.5	0.4	0		0	0	340		-0.38	-7.69	-0.25		136	-1190	0		110.65	-1137.88	0		25.35	-52.12	0
3.5	0.4	0		0	0	360		-0.44	-8.31	-0.31		144	-1260	0		122.64	-1232.82	0		21.36	-27.18	0
3.5	0.4	0		0	0	380		-0.44	-8.5	-0.38		152	-1330	0		122.3	-1262.52	0		29.7	-67.48	0
